date;insee;tH2_obs;capeinsSOL0;ciwcH20;clwcH20;ddH10_rose4;ffH10;flir1SOL0;fllat1SOL0;flsen1SOL0;flvis1SOL0;hcoulimSOL0;huH2;iwcSOL0;nbSOL0_HMoy;nH20;ntSOL0_HMoy;pMER0;rr1SOL0;rrH20;tH2;tH2_VGrad_2.100;tH2_XGrad;tH2_YGrad;tpwHPA850;ux1H10;vapcSOL0;vx1H10;ech;mois
01/01/2014;6088001;5,50;0,20;0,00;0,00;4.0;1,97;-386960,60;-94260,68;-40545,51;0,00;66,60;79,21;0,00;0,00;0,00;4,17;1019,54;0,00;0,00;9,03;-0,08;0,01;-0,01;3,85;1,33;10,66;-2,85;1;janvier
01/01/2014;31069001;4,80;8,59;0,00;0,00;3.0;2,76;-200181,12;2282,95;14399,92;0,00;57,95;83,86;0,00;0,01;0,00;5,74;1018,29;0,00;0,00;3,85;1,40;0,01;0,00;8,48;-2,04;15,46;3,02;1;janvier
01/01/2014;33281001;8,90;69,20;0,00;0,00;3.0;3,41;-62310,34;9483,69;64790,37;0,00;202,99;95,71;0,00;4,79;0,15;7,84;1016,14;0,08;0,01;8,59;0,39;0,00;0,00;7,64;3,03;17,34;4,89;1;janvier
01/01/2014;35281001;6,80;65,27;0,00;0,00;3.0;4,66;-61612,12;-48356,48;127450,66;0,00;343,97;90,18;0,00;7,07;0,00;7,38;1009,32;0,03;0,01;7,30;-0,09;0,00;0,00;7,09;-1,03;13,98;8,08;1;janvier
01/01/2014;59343001;5,40;5,93;0,00;0,00;3.0;5,86;-39553,11;-1022,91;117800,17;0,00;656,97;92,68;0,00;8,00;0,00;8,00;1008,72;0,00;0,00;5,83;-0,49;0,00;0,00;4,55;2,80;9,94;7,96;1;janvier
01/01/2014;67124001;2,90;0,00;0,00;0,00;3.0;6,70;-232184,64;-48990,06;190374,11;0,00;128,08;79,20;0,00;0,00;0,00;2,73;1015,68;0,00;0,00;1,69;3,22;0,00;0,00;7,42;2,22;11,33;9,24;1;janvier
01/01/2014;75114001;7,00;13,27;0,00;0,00;3.0;3,19;-25228,27;-18513,39;-3158,36;0,00;548,72;91,51;0,00;7,98;0,03;7,98;1011,68;0,00;0,00;7,21;-1,08;0,00;0,00;4,85;2,34;10,43;7,03;1;janvier
02/01/2014;6088001;7,90;2,59;0,00;0,00;1.0;2,61;-154865,27;-123893,70;-55913,16;0,00;149,37;84,96;0,00;5,48;0,00;7,21;1016,29;0,00;0,00;10,60;-0,34;0,00;0,00;8,11;0,81;17,08;-4,78;1;janvier
02/01/2014;31069001;9,90;0,78;0,00;0,00;3.0;4,28;-140018,55;-20709,30;129016,23;0,00;2017,27;86,04;0,00;5,10;0,00;8,00;1008,71;0,05;0,02;9,77;0,05;0,00;0,00;10,80;-7,05;21,10;6,36;1;janvier
02/01/2014;33281001;10,90;83,28;0,00;0,00;4.0;5,66;-95081,58;-180224,08;268398,81;0,00;407,45;90,02;0,00;7,20;0,00;7,97;1004,91;0,17;0,01;11,11;-0,16;0,00;0,00;9,95;14,16;19,42;0,26;1;janvier
02/01/2014;35281001;10,40;136,05;0,00;0,00;4.0;8,38;-103235,86;-208537,41;327814,67;0,00;992,65;84,32;0,00;6,11;0,00;7,78;993,09;0,07;0,00;10,53;-0,08;0,00;0,00;9,57;8,19;17,34;13,22;1;janvier
02/01/2014;59343001;9,80;3,44;0,00;0,00;3.0;10,57;-16301,92;-144263,14;225936,04;0,00;1111,63;90,47;0,00;8,00;0,00;8,00;992,16;0,00;0,00;9,61;-0,44;0,00;0,00;9,53;1,85;18,76;16,95;1;janvier
02/01/2014;67124001;7,10;0,00;0,00;0,00;3.0;4,66;-69724,40;-37954,55;84376,21;0,00;195,12;85,62;0,00;0,78;0,00;8,00;1006,65;0,04;0,02;6,04;0,89;0,00;0,00;9,42;0,69;18,15;6,62;1;janvier
02/01/2014;75114001;10,80;4,91;0,00;0,00;3.0;7,95;-29124,12;-91982,12;143723,90;0,00;1185,04;80,82;0,00;8,00;0,00;8,00;994,64;0,03;0,00;11,33;-0,70;0,00;0,00;10,39;4,61;18,78;16,03;1;janvier
03/01/2014;6088001;9,10;0,22;0,00;0,00;2.0;0,74;-237180,75;-53512,20;-23413,43;0,00;286,20;87,57;0,00;4,94;0,00;7,66;1016,18;0,00;0,00;12,01;-0,60;0,00;-0,01;9,72;1,02;16,33;-3,87;1;janvier
03/01/2014;31069001;11,50;12,98;0,00;0,00;3.0;3,44;-79146,82;-83373,24;159044,25;0,00;358,96;74,88;0,00;5,31;0,00;8,00;1012,24;0,08;0,02;10,74;0,37;0,00;0,00;12,17;-3,44;24,12;8,13;1;janvier
03/01/2014;33281001;10,30;24,23;0,00;0,00;3.0;3,58;-23572,93;-56257,11;109115,32;0,00;233,13;91,14;0,00;6,63;0,00;7,99;1009,35;0,00;0,00;10,92;-0,11;0,00;0,00;12,45;2,32;25,55;7,34;1;janvier
03/01/2014;35281001;11,70;20,84;0,00;0,00;3.0;7,09;-5485,79;-56371,91;157123,17;0,00;1063,11;93,69;0,00;8,00;0,00;8,00;999,99;0,21;0,00;11,91;-0,49;0,00;0,00;11,15;4,66;17,97;12,45;1;janvier
03/01/2014;59343001;8,90;0,00;0,00;0,00;3.0;8,51;-194626,17;840,33;204081,75;0,00;826,71;91,39;0,00;7,09;0,00;7,50;1001,61;0,00;0,00;8,15;-0,18;0,00;0,00;8,48;-0,02;15,54;12,34;1;janvier
03/01/2014;67124001;5,70;0,00;0,00;0,00;3.0;4,02;-232938,32;49561,01;87075,08;0,00;92,72;98,26;0,00;4,12;1,33;4,12;1011,43;0,00;0,00;4,24;2,80;0,00;0,00;8,21;1,10;13,57;5,50;1;janvier
03/01/2014;75114001;9,80;0,00;0,00;0,00;3.0;4,29;-167914,77;8803,28;116765,26;0,00;830,59;76,83;0,00;0,00;0,00;7,98;1004,85;0,00;0,00;9,80;-0,50;0,00;0,00;8,71;0,13;16,71;9,39;1;janvier
04/01/2014;6088001;11,30;3,81;0,00;0,00;2.0;4,60;-62666,19;-131036,24;-42751,25;0,00;264,21;88,76;0,00;7,93;0,00;8,00;1018,00;0,29;0,01;11,93;-1,17;0,00;0,00;12,53;-7,48;27,22;-1,06;1;janvier
04/01/2014;31069001;8,30;19,12;0,00;0,00;2.0;1,65;-120673,27;7472,22;8330,29;0,00;48,74;88,64;0,00;0,84;0,00;8,00;1014,00;0,00;0,00;8,48;0,83;0,00;0,00;11,13;-2,11;20,33;2,29;1;janvier
04/01/2014;33281001;9,30;2,15;0,00;0,00;3.0;2,94;-122875,72;-13830,04;57371,62;0,00;266,72;93,39;0,00;0,00;0,00;8,00;1010,81;0,00;0,00;8,92;0,70;0,00;0,00;10,02;-3,41;14,23;3,12;1;janvier
04/01/2014;35281001;9,50;90,30;0,00;0,00;3.0;8,01;-145042,47;-207934,36;371696,39;0,00;1540,84;89,19;0,00;7,82;0,00;7,86;1004,32;0,38;0,03;10,26;-0,21;0,00;0,00;8,83;5,74;17,63;14,45;1;janvier
04/01/2014;59343001;7,30;0,35;0,00;0,00;3.0;6,95;-295245,37;-76517,83;261103,21;0,00;697,65;85,97;0,00;0,00;0,00;3,26;1006,95;0,00;0,00;6,52;0,28;0,00;0,00;4,62;6,09;10,50;10,36;1;janvier
04/01/2014;67124001;8,20;0,00;0,00;0,00;3.0;4,53;-260450,58;21109,09;163438,61;0,00;92,51;92,10;0,00;0,01;0,00;7,82;1015,72;0,00;0,00;7,00;2,38;0,00;0,00;5,51;3,13;9,03;6,36;1;janvier
04/01/2014;75114001;7,80;0,00;0,00;0,00;3.0;3,92;-261412,93;18826,26;66897,05;0,00;270,00;83,67;0,00;0,00;0,00;8,00;1010,16;0,00;0,00;7,61;-0,54;0,00;0,00;3,80;0,61;10,04;7,72;1;janvier
05/01/2014;6088001;11,20;46,41;0,00;0,00;2.0;4,28;-87260,44;-123946,94;-35440,94;0,00;376,97;84,33;0,00;7,18;0,00;7,71;1001,29;0,00;0,00;12,31;-1,02;0,00;0,00;10,47;-5,32;21,41;-2,45;1;janvier
05/01/2014;31069001;5,30;68,57;0,00;0,00;4.0;7,38;-155879,69;-147945,73;178434,24;0,00;593,95;84,49;0,00;0,02;0,00;0,05;1014,33;0,00;0,00;5,31;-0,39;0,00;0,00;4,14;13,40;9,83;3,28;1;janvier
05/01/2014;33281001;7,60;7,91;0,00;0,00;4.0;6,02;-129558,54;-171860,53;278198,63;0,00;1255,31;85,97;0,00;6,34;0,00;7,62;1012,19;0,49;0,02;7,21;0,41;0,00;0,00;6,15;12,57;13,98;-1,15;1;janvier
05/01/2014;35281001;5,70;10,44;0,00;0,00;4.0;5,59;-211293,11;-54476,94;184148,66;0,00;1289,53;86,77;0,00;1,51;0,00;1,51;1002,96;0,00;0,00;6,18;0,09;0,00;0,00;3,27;7,93;7,91;4,77;1;janvier
05/01/2014;59343001;5,60;0,00;0,00;0,00;4.0;5,64;-175077,80;-11820,99;102326,17;0,00;294,41;87,01;0,00;0,27;0,00;5,83;999,65;0,00;0,00;5,36;-0,50;0,00;0,00;4,24;8,85;9,65;3,65;1;janvier
05/01/2014;67124001;6,50;0,46;0,00;0,00;4.0;2,95;-98013,72;14643,92;42760,78;0,00;184,38;94,83;0,00;4,87;0,04;8,00;1001,66;0,24;0,00;5,63;2,38;0,00;0,00;7,74;2,79;16,33;3,31;1;janvier
05/01/2014;75114001;5,90;5,26;0,00;0,00;4.0;3,49;-292706,62;-12866,65;31684,89;0,00;520,54;77,96;0,00;0,02;0,00;0,41;1003,32;0,00;0,00;6,35;-0,86;0,00;0,00;4,45;7,16;10,42;3,42;1;janvier
06/01/2014;6088001;8,00;0,07;0,00;0,00;4.0;1,42;-355335,89;-112912,16;-13929,00;0,00;10,00;67,99;0,00;0,00;0,00;4,45;1014,48;0,00;0,00;11,70;1,15;0,01;-0,01;6,94;2,15;10,93;-4,30;1;janvier
06/01/2014;31069001;8,60;0,00;0,00;0,00;2.0;2,02;-158835,95;14756,35;46389,51;0,00;102,30;82,05;0,00;0,01;0,00;0,66;1015,53;0,00;0,00;8,23;2,34;0,00;0,00;13,11;-2,91;23,04;2,43;1;janvier
06/01/2014;33281001;11,20;6,60;0,00;0,00;3.0;4,35;-110343,74;13031,94;130896,56;0,00;279,93;94,87;0,00;0,25;0,02;8,00;1013,18;0,00;0,00;10,35;0,73;0,00;0,00;13,47;-1,40;26,46;6,79;1;janvier
06/01/2014;35281001;12,30;92,21;0,00;0,00;3.0;11,37;-14585,22;-271016,64;349693,70;0,00;1937,65;90,75;0,00;8,00;0,00;8,00;1002,50;2,20;0,16;12,72;-0,45;0,00;0,00;13,20;11,89;28,46;20,35;1;janvier
06/01/2014;59343001;9,40;9,63;0,00;0,00;3.0;11,21;-65433,79;-94418,03;199543,50;0,00;1117,90;92,03;0,00;8,00;0,00;8,00;1002,87;0,00;0,00;8,89;-0,46;0,00;0,00;13,33;1,58;25,51;16,49;1;janvier
06/01/2014;67124001;2,30;0,00;0,00;0,00;3.0;4,15;-189082,74;41104,20;76154,15;0,00;143,75;99,69;0,00;6,55;8,02;6,57;1015,60;0,00;0,00;0,44;1,34;0,00;0,00;4,90;-0,19;11,15;6,45;1;janvier
06/01/2014;75114001;9,70;0,00;0,00;0,00;3.0;4,76;-31414,61;-15076,89;70979,56;0,00;728,03;89,89;0,00;8,00;0,00;8,00;1006,61;0,00;0,00;9,88;-0,63;0,00;0,00;13,12;-1,39;24,19;9,52;1;janvier
07/01/2014;6088001;8,40;0,14;0,00;0,00;3.0;1,37;-263964,92;-43900,06;-17562,00;0,00;20,47;90,54;0,00;2,87;0,00;7,44;1021,52;0,00;0,00;11,55;-0,12;0,00;-0,01;11,20;1,89;21,12;-3,19;1;janvier
07/01/2014;31069001;10,90;0,00;0,00;0,00;3.0;4,91;-113770,66;26075,68;130882,59;0,00;457,61;91,81;0,00;3,87;0,00;8,00;1017,65;0,00;0,00;10,49;-0,43;0,00;0,00;11,76;-5,22;20,39;6,12;1;janvier
07/01/2014;33281001;11,70;0,10;0,00;0,00;2.0;2,49;-164896,09;10308,74;57409,17;0,00;63,02;91,72;0,00;4,53;0,00;5,52;1015,30;0,00;0,00;10,98;2,90;0,00;0,00;11,38;-3,89;16,69;1,83;1;janvier
07/01/2014;35281001;10,80;22,06;0,00;0,00;3.0;7,76;-181767,81;-128748,00;280677,16;0,00;1209,54;82,05;0,00;4,08;0,00;4,09;1008,81;0,00;0,00;11,05;-0,09;0,00;0,00;6,75;7,18;13,10;10,85;1;janvier
07/01/2014;59343001;9,40;1,32;0,00;0,00;3.0;7,43;-216634,83;-96337,87;266040,11;0,00;1499,43;84,47;0,00;2,06;0,00;2,06;1007,29;0,00;0,00;9,23;0,07;0,00;0,00;7,49;4,45;12,04;11,48;1;janvier
07/01/2014;67124001;9,50;0,00;0,00;0,00;3.0;4,28;-215588,78;-83462,15;170278,37;0,00;918,09;78,86;0,00;0,59;0,00;3,67;1015,85;0,00;0,00;8,35;2,92;0,00;0,00;10,15;2,26;17,89;7,07;1;janvier
07/01/2014;75114001;10,80;2,30;0,00;0,00;3.0;4,83;-279186,51;-8571,07;83643,95;0,00;932,82;83,12;0,00;5,54;0,00;5,54;1011,59;0,00;0,00;10,70;-0,74;0,00;0,00;6,25;2,53;11,48;9,13;1;janvier
08/01/2014;6088001;10,30;5,25;0,00;0,00;3.0;1,08;-39099,96;-39121,91;-11432,66;0,00;8,39;89,14;0,00;6,41;0,00;6,91;1025,81;0,32;0,03;12,80;-0,83;0,00;0,00;8,43;1,11;19,41;-4,01;1;janvier
08/01/2014;31069001;11,40;0,27;0,00;0,00;3.0;5,19;-192853,15;-4695,82;138056,05;0,00;507,46;87,34;0,00;3,39;0,00;7,99;1021,72;0,00;0,00;11,71;-0,29;0,00;0,00;13,26;-5,75;22,71;7,59;1;janvier
08/01/2014;33281001;12,00;0,00;0,00;0,00;3.0;3,29;-197780,93;-4213,54;109797,48;0,00;223,51;88,84;0,00;0,00;0,00;8,00;1018,87;0,00;0,00;11,23;0,88;0,00;0,00;11,90;-3,07;17,23;4,05;1;janvier
08/01/2014;35281001;10,20;2,88;0,00;0,00;3.0;2,27;-55073,42;-51145,65;59210,20;0,00;955,72;89,64;0,00;4,16;0,00;4,16;1016,40;0,00;0,00;9,97;0,02;0,00;0,00;6,99;3,89;11,28;5,12;1;janvier
08/01/2014;59343001;10,50;45,53;0,00;0,00;3.0;5,84;-26827,85;-101267,77;180638,61;0,00;1812,88;86,12;0,00;7,93;0,00;7,99;1011,03;0,61;0,01;10,43;-0,09;0,00;0,00;9,36;5,72;18,81;11,89;1;janvier
08/01/2014;67124001;9,40;58,74;0,00;0,00;3.0;5,36;-170423,18;-46019,15;155032,65;0,00;131,16;79,86;0,00;1,79;0,00;8,00;1019,49;0,00;0,00;9,41;2,78;0,00;0,00;11,28;3,29;18,52;6,81;1;janvier
08/01/2014;75114001;11,70;4,02;0,00;0,00;4.0;5,22;-125874,92;5335,21;116555,74;0,00;1013,96;76,95;0,00;3,71;0,00;4,75;1016,44;0,00;0,00;12,08;-0,50;0,00;0,00;9,66;8,45;15,49;6,30;1;janvier
09/01/2014;6088001;8,80;0,25;0,00;0,00;4.0;1,34;-333768,73;-59799,92;-27056,87;0,00;81,98;87,38;0,00;0,05;0,00;8,00;1025,37;0,00;0,00;10,94;-0,45;0,00;0,00;8,54;2,15;15,02;-4,49;1;janvier
09/01/2014;31069001;11,50;0,03;0,00;0,00;3.0;6,07;-210527,94;-5787,52;176249,22;0,00;456,88;85,23;0,00;0,19;0,00;7,93;1020,61;0,00;0,00;11,11;-0,35;0,00;0,00;10,33;-6,37;14,57;8,12;1;janvier
