        insee    tH2_obs  capeinsSOL0       ciwcH20       clwcH20  \
ech                                                                 
1    43900001  10.714788    40.686728  6.739614e-08  5.415647e-06   
2    43900001   9.935889    34.127371  9.249619e-08  7.736656e-06   
3    43900001   9.685575    32.246881  9.602965e-08  1.007253e-05   
4    43900001   9.500784    30.778313  1.125648e-07  1.218136e-05   
5    43900001   9.443362    29.502529  1.296962e-07  1.396461e-05   
6    43900001   9.718798    29.960130  1.441000e-07  1.479185e-05   
7    43900001  10.425836    35.136716  1.395729e-07  1.348099e-05   
8    43900001  11.414321    48.086075  1.135130e-07  1.018955e-05   
9    43900001  12.564390    68.612023  7.227195e-08  6.418567e-06   
10   43900001  13.614151    91.447100  2.422228e-08  3.108534e-06   
11   43900001  14.482972   113.980117  3.765915e-09  1.279872e-06   
12   43900001  15.164296   130.211624  1.238999e-09  6.403828e-07   
13   43900001  15.586056   137.587229  5.169535e-10  4.364581e-07   
14   43900001  15.770275   135.797577  1.472173e-10  3.778380e-07   
15   43900001  15.701238   123.890572  7.140908e-11  3.848404e-07   
16   43900001  15.310610   105.263369  9.997985e-11  4.277759e-07   
17   43900001  14.642482    83.244360  4.693844e-10  4.123308e-07   
18   43900001  13.831446    65.114546  7.507549e-10  5.875429e-07   
19   43900001  13.000540    51.877705  1.686740e-09  7.459687e-07   
20   43900001  12.324564    46.481823  3.906603e-09  9.055487e-07   
21   43900001  11.754251    42.298573  1.167051e-08  1.411015e-06   
22   43900001  11.850786    45.659739  1.477255e-08  1.943190e-06   
23   43900001  11.419831    42.007982  1.880960e-08  2.867701e-06   
24   43900001  11.047073    40.399554  2.509495e-08  3.994553e-06   
25   43900001  10.723982    38.347299  3.245250e-08  5.632213e-06   
26   43900001  10.437457    36.655223  5.685915e-08  7.178066e-06   
27   43900001  10.178628    34.619166  7.099541e-08  8.703897e-06   
28   43900001   9.984482    33.755225  7.888742e-08  1.029761e-05   
29   43900001   9.954678    33.117569  9.455575e-08  1.203000e-05   
30   43900001  10.296627    34.294960  1.116815e-07  1.289478e-05   
31   43900001   9.928103    28.756717  8.405153e-08  1.177200e-05   
32   43900001  10.822108    39.952739  8.303580e-08  1.070723e-05   
33   43900001  11.916768    55.783776  4.600642e-08  6.656098e-06   
34   43900001  12.955693    74.881913  2.051277e-08  2.873871e-06   
35   43900001  13.824592    92.418663  9.220586e-10  1.278298e-06   
36   43900001  14.532555   106.217436  3.863057e-10  7.143314e-07   

     ddH10_rose4     ffH10      flir1SOL0     fllat1SOL0     flsen1SOL0  \
ech                                                                       
1       2.782543  3.040960 -187643.702286  -30078.637106   40524.262175   
2       2.726994  3.122203 -184645.297784  -30147.982269   42905.399784   
3       2.677865  3.117819 -178176.187064  -30312.243951   41927.823001   
4       2.666192  3.096329 -171740.095987  -30845.273537   40255.395368   
5       2.654694  3.082688 -166034.217428  -32383.411223   36760.044765   
6       2.643370  3.086570 -165723.889873  -43179.012606   25606.798411   
7       2.649468  3.112587 -175626.658492  -73629.590297  -11003.949596   
8       2.644938  3.198756 -197285.574943 -132775.733462  -69555.287668   
9       2.659572  3.359091 -229832.148816 -220220.004991 -156972.014243   
10      2.678736  3.551052 -264530.423400 -319629.253475 -253891.748879   
11      2.702778  3.763891 -293839.701838 -406837.839147 -336444.755958   
12      2.703475  3.969431 -313520.457115 -464160.877666 -389731.601971   
13      2.697900  4.139478 -322753.939590 -485602.398518 -403303.703931   
14      2.704694  4.209245 -322245.331078 -464346.911567 -372058.542783   
15      2.685879  4.225707 -312066.593918 -408537.615788 -301080.751712   
16      2.676123  4.169501 -293122.666401 -320762.577158 -203771.664621   
17      2.652429  4.003881 -268521.906377 -223024.286910 -103677.705475   
18      2.635530  3.781224 -244481.945066 -134180.164903  -24573.655378   
19      2.617760  3.565016 -224059.991731  -72403.410915   29628.929107   
20      2.597029  3.437669 -208385.845839  -43857.299850   46815.263056   
21      2.612882  3.369248 -198458.488548  -37010.723109   48692.189596   
22      2.635632  3.296880 -195585.261197  -35162.066200   45545.108410   
23      2.649740  3.235588 -190531.197592  -33909.002669   43308.748318   
24      2.642281  3.163809 -185212.824496  -32958.814472   41040.293510   
25      2.661415  3.102232 -180615.982373  -31677.177207   38377.842533   
26      2.635470  3.058680 -175621.032847  -31594.214586   36749.140339   
27      2.626714  3.043261 -171031.478133  -32159.902375   35368.196580   
28      2.624119  3.000710 -165464.841601  -32621.305803   33819.957268   
29      2.632227  2.998625 -161463.312595  -34134.492227   31619.222037   
30      2.632389  3.007331 -164270.728284  -44880.209064   19613.360129   
31      2.671678  3.219016 -174455.842104  -78905.826123  -21708.422457   
32      2.659500  3.319905 -195039.047031 -127090.811535  -75437.175317   
33      2.679641  3.490624 -224356.234072 -198140.058671 -156334.574921   
34      2.714770  3.683861 -257857.568075 -281894.129340 -246162.764317   
35      2.721795  3.896426 -286907.563817 -352663.701803 -324117.624626   
36      2.752240  4.086435 -306916.893257 -400748.062029 -374149.310468   

          ...        mois_décembre  mois_février  mois_janvier  mois_juillet  \
ech       ...                                                                  
1         ...             0.070375      0.096481      0.105562      0.070375   
2         ...             0.075610      0.103659      0.113415      0.037805   
3         ...             0.075610      0.103659      0.113415      0.037805   
4         ...             0.075610      0.103659      0.113415      0.037805   
5         ...             0.075610      0.103659      0.113415      0.037805   
6         ...             0.075610      0.103659      0.113415      0.037805   
7         ...             0.075610      0.103659      0.113415      0.037805   
8         ...             0.075610      0.103659      0.113415      0.037805   
9         ...             0.075610      0.103659      0.113415      0.037805   
10        ...             0.075610      0.103659      0.113415      0.037805   
11        ...             0.075610      0.103659      0.113415      0.037805   
12        ...             0.075610      0.103659      0.113415      0.037805   
13        ...             0.075610      0.103659      0.113415      0.037805   
14        ...             0.075610      0.103659      0.113415      0.037805   
15        ...             0.075610      0.103659      0.113415      0.037805   
16        ...             0.075610      0.103659      0.113415      0.037805   
17        ...             0.075610      0.103659      0.113415      0.037805   
18        ...             0.075610      0.103659      0.113415      0.037805   
19        ...             0.075610      0.103659      0.113415      0.037805   
20        ...             0.075610      0.103659      0.113415      0.037805   
21        ...             0.075610      0.103659      0.113415      0.037805   
22        ...             0.070375      0.096481      0.105562      0.070375   
23        ...             0.070375      0.096481      0.105562      0.070375   
24        ...             0.070375      0.096481      0.105562      0.070375   
25        ...             0.070375      0.096481      0.105562      0.070375   
26        ...             0.070375      0.096481      0.105562      0.070375   
27        ...             0.070375      0.096481      0.105562      0.070375   
28        ...             0.070375      0.096481      0.105562      0.070375   
29        ...             0.070375      0.096481      0.105562      0.070375   
30        ...             0.070375      0.096481      0.105562      0.070375   
31        ...             0.101639      0.095082      0.101639      0.101639   
32        ...             0.101639      0.095082      0.101639      0.101639   
33        ...             0.101639      0.095082      0.101639      0.101639   
34        ...             0.101639      0.095082      0.101639      0.101639   
35        ...             0.101639      0.095082      0.101639      0.101639   
36        ...             0.101639      0.095082      0.101639      0.101639   

     mois_juin  mois_mai  mois_mars  mois_novembre  mois_octobre  \
ech                                                                
1     0.068104  0.104427   0.105562       0.068104      0.070375   
2     0.036585  0.112195   0.113415       0.073171      0.075610   
3     0.036585  0.112195   0.113415       0.073171      0.075610   
4     0.036585  0.112195   0.113415       0.073171      0.075610   
5     0.036585  0.112195   0.113415       0.073171      0.075610   
6     0.036585  0.112195   0.113415       0.073171      0.075610   
7     0.036585  0.112195   0.113415       0.073171      0.075610   
8     0.036585  0.112195   0.113415       0.073171      0.075610   
9     0.036585  0.112195   0.113415       0.073171      0.075610   
10    0.036585  0.112195   0.113415       0.073171      0.075610   
11    0.036585  0.112195   0.113415       0.073171      0.075610   
12    0.036585  0.112195   0.113415       0.073171      0.075610   
13    0.036585  0.112195   0.113415       0.073171      0.075610   
14    0.036585  0.112195   0.113415       0.073171      0.075610   
15    0.036585  0.112195   0.113415       0.073171      0.075610   
16    0.036585  0.112195   0.113415       0.073171      0.075610   
17    0.036585  0.112195   0.113415       0.073171      0.075610   
18    0.036585  0.112195   0.113415       0.073171      0.075610   
19    0.036585  0.112195   0.113415       0.073171      0.075610   
20    0.036585  0.112195   0.113415       0.073171      0.075610   
21    0.036585  0.112195   0.113415       0.073171      0.075610   
22    0.068104  0.104427   0.105562       0.068104      0.070375   
23    0.068104  0.104427   0.105562       0.068104      0.070375   
24    0.068104  0.104427   0.105562       0.068104      0.070375   
25    0.068104  0.104427   0.105562       0.068104      0.070375   
26    0.068104  0.104427   0.105562       0.068104      0.070375   
27    0.068104  0.104427   0.105562       0.068104      0.070375   
28    0.068104  0.104427   0.105562       0.068104      0.070375   
29    0.068104  0.104427   0.105562       0.068104      0.070375   
30    0.068104  0.104427   0.105562       0.068104      0.070375   
31    0.000000  0.101639   0.101639       0.098361      0.101639   
32    0.000000  0.101639   0.101639       0.098361      0.101639   
33    0.000000  0.101639   0.101639       0.098361      0.101639   
34    0.000000  0.101639   0.101639       0.098361      0.101639   
35    0.000000  0.101639   0.101639       0.098361      0.101639   
36    0.000000  0.101639   0.101639       0.098361      0.101639   

     mois_septembre  
ech                  
1          0.068104  
2          0.073171  
3          0.073171  
4          0.073171  
5          0.073171  
6          0.073171  
7          0.073171  
8          0.073171  
9          0.073171  
10         0.073171  
11         0.073171  
12         0.073171  
13         0.073171  
14         0.073171  
15         0.073171  
16         0.073171  
17         0.073171  
18         0.073171  
19         0.073171  
20         0.073171  
21         0.073171  
22         0.068104  
23         0.068104  
24         0.068104  
25         0.068104  
26         0.068104  
27         0.068104  
28         0.068104  
29         0.068104  
30         0.068104  
31         0.000000  
32         0.000000  
33         0.000000  
34         0.000000  
35         0.000000  
36         0.000000  

[36 rows x 45 columns]
